Player      1     28    IdleAnim                  1


GrassTile
TileBbox    1       30    GrassTile1_Static         0
TileBbox    2       30    GrassTile2_Static         0
TileBbox    3       30    GrassTile2_Static         0
TileBbox    4       30    GrassTile2_Static         0
TileBbox    5       30    GrassTile2_Static         0
TileBbox    6       30    GrassTile2_Static         0
TileBbox    7       30    GrassTile2_Static         0
TileBbox    8       30    GrassTile2_Static         0
TileBbox    9       30    GrassTile2_Static         0
TileBbox    10      30    GrassTile2_Static         0
TileBbox    11      30    GrassTile2_Static         0
TileBbox    12      30    GrassTile2_Static         0
TileBbox    13      30    GrassTile2_Static         0
TileBbox    14      30    GrassTile2_Static         0
TileBbox    15      30    GrassTile2_Static         0
TileBbox    16      30    GrassTile2_Static         0
TileBbox    17      30    GrassTile2_Static         0
TileBbox    18      30    GrassTile2_Static         0
TileBbox    19      30    GrassTile2_Static         0
TileBbox    20      30    GrassTile2_Static         0
TileBbox    21      30    GrassTile2_Static         0
TileBbox    22      30    GrassTile2_Static         0
TileBbox    23      30    GrassTile2_Static         0
TileBbox    24      30    GrassTile2_Static         0
TileBbox    25      30    GrassTile2_Static         0
TileBbox    26      30    GrassTile2_Static         0
SlideRBbox  27      25    GrassTileTS_Static        0
TileBbox    27      30    GrassTile2_Static         0
TileBbox    28      30    GrassTile2_Static         0
TileBbox    29      30    GrassTile2_Static         0
TileBbox    30      30    GrassTile2_Static         0

Tile        1         31    GrassTile4_Static         0
Tile        2         31    GrassTile4_Static         0
Tile        3         31    GrassTile4_Static         0
Tile        4         31    GrassTile4_Static         0
Tile        5         31    GrassTile4_Static         0
Tile        6         31    GrassTile4_Static         0
Tile        7         31    GrassTile4_Static         0
Tile        8         31    GrassTile4_Static         0
Tile        9         31    GrassTile4_Static         0
Tile        10        31    GrassTile4_Static         0
Tile        11        31    GrassTile4_Static         0
Tile        12        31    GrassTile4_Static         0
Tile        13        31    GrassTile4_Static         0
Tile        14        31    GrassTile4_Static         0
Tile        15        31    GrassTile4_Static         0
Tile        16        31    GrassTile4_Static         0
Tile        17        31    GrassTile4_Static         0
Tile        18        31    GrassTile4_Static         0
Tile        19        31    GrassTile4_Static         0
Tile        20        31    GrassTile4_Static         0
Tile        21        31    GrassTile4_Static         0
Tile        22        31    GrassTile4_Static         0
Tile        23        31    GrassTile4_Static         0
Tile        24        31    GrassTile4_Static         0
Tile        25        31    GrassTile4_Static         0
Tile        26        31    GrassTile4_Static         0
Tile        27        31    GrassTile4_Static         0
Tile        28        31    GrassTile4_Static         0
Tile        29        31    GrassTile4_Static         0
Tile        30        31    GrassTile4_Static         0
Tile        1         32    GrassTile4_Static         0
Tile        2         32    GrassTile4_Static         0
Tile        3         32    GrassTile4_Static         0
Tile        4         32    GrassTile4_Static         0
Tile        5         32    GrassTile4_Static         0
Tile        6         32    GrassTile4_Static         0
Tile        7         32    GrassTile4_Static         0
Tile        8         32    GrassTile4_Static         0
Tile        9         32    GrassTile4_Static         0
Tile        10        32    GrassTile4_Static         0
Tile        11        32    GrassTile4_Static         0
Tile        12        32    GrassTile4_Static         0
Tile        13        32    GrassTile4_Static         0
Tile        14        32    GrassTile4_Static         0
Tile        15        32    GrassTile4_Static         0
